Mundia,local,visitante,Link,Pais,Minuto,Sale,Entra
Mundial 2018,Rusia,ArabiaSaudita,https://www.losmundialesdefutbol.com/../partidos/2018_rusia_arabia_saudita.php,Rusia,Minuto24,Cheryshev_Denis,Dzagoev_Alan
Mundial 2018,Rusia,ArabiaSaudita,https://www.losmundialesdefutbol.com/../partidos/2018_rusia_arabia_saudita.php,Rusia,Minuto64,Kuzyayev_Daler,Samedov_Aleksandr
Mundial 2018,Rusia,ArabiaSaudita,https://www.losmundialesdefutbol.com/../partidos/2018_rusia_arabia_saudita.php,Rusia,Minuto70,Dzyuba_Artem,Smolov_Fyodor
Mundial 2018,Rusia,ArabiaSaudita,https://www.losmundialesdefutbol.com/../partidos/2018_rusia_arabia_saudita.php,ArabiaSaudita,Minuto64,Al-Muwallad_Fahad,Otayf_Abdullah
Mundial 2018,Rusia,ArabiaSaudita,https://www.losmundialesdefutbol.com/../partidos/2018_rusia_arabia_saudita.php,ArabiaSaudita,Minuto72,Bahebri_Hattan,Al-Shehri_Yahya
Mundial 2018,Rusia,ArabiaSaudita,https://www.losmundialesdefutbol.com/../partidos/2018_rusia_arabia_saudita.php,ArabiaSaudita,Minuto85,Assiri_Muhannad,Al-Sahlawi_Mohammad
Mundial 2018,Egipto,Uruguay,https://www.losmundialesdefutbol.com/../partidos/2018_egipto_uruguay.php,Egipto,Minuto50,Morsy_Sam,Hamed_Tarek
Mundial 2018,Egipto,Uruguay,https://www.losmundialesdefutbol.com/../partidos/2018_egipto_uruguay.php,Egipto,Minuto63,Kahraba_Mahmoud,Mohsen_Marwan
Mundial 2018,Egipto,Uruguay,https://www.losmundialesdefutbol.com/../partidos/2018_egipto_uruguay.php,Egipto,Minuto82,Sobhi_Ramadan,Warda_Amr
Mundial 2018,Egipto,Uruguay,https://www.losmundialesdefutbol.com/../partidos/2018_egipto_uruguay.php,Uruguay,Minuto58,Sánchez_Carlos,Nández_Nahitan
Mundial 2018,Egipto,Uruguay,https://www.losmundialesdefutbol.com/../partidos/2018_egipto_uruguay.php,Uruguay,Minuto59,Rodríguez_Cristian,De_Giorgian
Mundial 2018,Egipto,Uruguay,https://www.losmundialesdefutbol.com/../partidos/2018_egipto_uruguay.php,Uruguay,Minuto87,Torreira_Lucas,Vecino_Matías
Mundial 2018,Portugal,España,https://www.losmundialesdefutbol.com/../partidos/2018_portugal_espana.php,Portugal,Minuto68,Mário_João,Fernandes_Bruno
Mundial 2018,Portugal,España,https://www.losmundialesdefutbol.com/../partidos/2018_portugal_espana.php,Portugal,Minuto69,Quaresma_Ricardo,Silva_Bernardo
Mundial 2018,Portugal,España,https://www.losmundialesdefutbol.com/../partidos/2018_portugal_espana.php,Portugal,Minuto80,Silva_André,Guedes_Gonçalo
Mundial 2018,Portugal,España,https://www.losmundialesdefutbol.com/../partidos/2018_portugal_espana.php,España,Minuto70,Thiago,Iniesta_Andrés
Mundial 2018,Portugal,España,https://www.losmundialesdefutbol.com/../partidos/2018_portugal_espana.php,España,Minuto77,Aspas_Iago,Costa_Diego
Mundial 2018,Portugal,España,https://www.losmundialesdefutbol.com/../partidos/2018_portugal_espana.php,España,Minuto86,Vázquez_Lucas,Silva_David
Mundial 2018,Marruecos,Irán,https://www.losmundialesdefutbol.com/../partidos/2018_marruecos_iran.php,Marruecos,Minuto76,Amrabat_Sofyan,Amrabat_Nordin
Mundial 2018,Marruecos,Irán,https://www.losmundialesdefutbol.com/../partidos/2018_marruecos_iran.php,Marruecos,Minuto77,Bouhaddouz_Aziz,El_Ayoub
Mundial 2018,Marruecos,Irán,https://www.losmundialesdefutbol.com/../partidos/2018_marruecos_iran.php,Marruecos,Minuto82,da_Manuel,Harit_Amine
Mundial 2018,Marruecos,Irán,https://www.losmundialesdefutbol.com/../partidos/2018_marruecos_iran.php,Irán,Minuto68,Taremi_Mehdi,Shojaei_Masoud
Mundial 2018,Marruecos,Irán,https://www.losmundialesdefutbol.com/../partidos/2018_marruecos_iran.php,Irán,Minuto81,Hosseini_Majid,Ebrahimi_Omid
Mundial 2018,Marruecos,Irán,https://www.losmundialesdefutbol.com/../partidos/2018_marruecos_iran.php,Irán,Minuto85,Ghoddos_Saman,Jahanbakhsh_Alireza
Mundial 2018,Francia,Australia,https://www.losmundialesdefutbol.com/../partidos/2018_francia_australia.php,Francia,Minuto70,Fekir_Nabil,Dembélé_Ousmane
Mundial 2018,Francia,Australia,https://www.losmundialesdefutbol.com/../partidos/2018_francia_australia.php,Francia,Minuto70,Giroud_Olivier,Griezmann_Antoine
Mundial 2018,Francia,Australia,https://www.losmundialesdefutbol.com/../partidos/2018_francia_australia.php,Francia,Minuto78,Matuidi_Blaise,Tolisso_Corentin
Mundial 2018,Francia,Australia,https://www.losmundialesdefutbol.com/../partidos/2018_francia_australia.php,Australia,Minuto64,Juric_Tomi,Nabbout_Andrew
Mundial 2018,Francia,Australia,https://www.losmundialesdefutbol.com/../partidos/2018_francia_australia.php,Australia,Minuto72,Irvine_Jackson,Rogic_Tom
Mundial 2018,Francia,Australia,https://www.losmundialesdefutbol.com/../partidos/2018_francia_australia.php,Australia,Minuto84,Arzani_Daniel,Kruse_Robbie
Mundial 2018,Perú,Dinamarca,https://www.losmundialesdefutbol.com/../partidos/2018_peru_dinamarca.php,Perú,Minuto62,Guerrero_Paolo,Flores_Edison
Mundial 2018,Perú,Dinamarca,https://www.losmundialesdefutbol.com/../partidos/2018_peru_dinamarca.php,Perú,Minuto85,Ruidíaz_Raúl,Farfán_Jefferson
Mundial 2018,Perú,Dinamarca,https://www.losmundialesdefutbol.com/../partidos/2018_peru_dinamarca.php,Perú,Minuto87,Aquino_Pedro,Tapia_Renato
Mundial 2018,Perú,Dinamarca,https://www.losmundialesdefutbol.com/../partidos/2018_peru_dinamarca.php,Dinamarca,Minuto35,Schöne_Lasse,Kvist_William
Mundial 2018,Perú,Dinamarca,https://www.losmundialesdefutbol.com/../partidos/2018_peru_dinamarca.php,Dinamarca,Minuto67,Braithwaite_Martin,Sisto_Pione
Mundial 2018,Perú,Dinamarca,https://www.losmundialesdefutbol.com/../partidos/2018_peru_dinamarca.php,Dinamarca,Minuto81,Jørgensen_Mathias,Christensen_Andreas
Mundial 2018,Argentina,Islandia,https://www.losmundialesdefutbol.com/../partidos/2018_argentina_islandia.php,Argentina,Minuto54,Banega_Ever,Biglia_Lucas
Mundial 2018,Argentina,Islandia,https://www.losmundialesdefutbol.com/../partidos/2018_argentina_islandia.php,Argentina,Minuto75,Pavón_Cristian,Di_Angel
Mundial 2018,Argentina,Islandia,https://www.losmundialesdefutbol.com/../partidos/2018_argentina_islandia.php,Argentina,Minuto84,Higuain_Gonzalo,Meza_Maximiliano
Mundial 2018,Argentina,Islandia,https://www.losmundialesdefutbol.com/../partidos/2018_argentina_islandia.php,Islandia,Minuto63,Gíslason_Rúrik,Berg_Jóhann
Mundial 2018,Argentina,Islandia,https://www.losmundialesdefutbol.com/../partidos/2018_argentina_islandia.php,Islandia,Minuto76,Skúlason_Ari,Gunnarsson_Aron
Mundial 2018,Argentina,Islandia,https://www.losmundialesdefutbol.com/../partidos/2018_argentina_islandia.php,Islandia,Minuto89,Sigurðarson_Björn,Finnbogason_Alfred
Mundial 2018,Croacia,Nigeria,https://www.losmundialesdefutbol.com/../partidos/2018_croacia_nigeria.php,Croacia,Minuto60,Brozovic_Marcelo,Kramarić_Andrej
Mundial 2018,Croacia,Nigeria,https://www.losmundialesdefutbol.com/../partidos/2018_croacia_nigeria.php,Croacia,Minuto78,Kovacic_Mateo,Rebic_Ante
Mundial 2018,Croacia,Nigeria,https://www.losmundialesdefutbol.com/../partidos/2018_croacia_nigeria.php,Croacia,Minuto86,Pjaca_Marko,Mandzukic_Mario
Mundial 2018,Croacia,Nigeria,https://www.losmundialesdefutbol.com/../partidos/2018_croacia_nigeria.php,Nigeria,Minuto62,Musa_Ahmed,Iwobi_Alex
Mundial 2018,Croacia,Nigeria,https://www.losmundialesdefutbol.com/../partidos/2018_croacia_nigeria.php,Nigeria,Minuto72,Iheanacho_Kelechi,Ighalo_Odion
Mundial 2018,Croacia,Nigeria,https://www.losmundialesdefutbol.com/../partidos/2018_croacia_nigeria.php,Nigeria,Minuto88,Nwankwo_Simeon,Obi_John
Mundial 2018,Brasil,Suiza,https://www.losmundialesdefutbol.com/../partidos/2018_brasil_suiza.php,Brasil,Minuto60,Fernandinho,Casemiro
Mundial 2018,Brasil,Suiza,https://www.losmundialesdefutbol.com/../partidos/2018_brasil_suiza.php,Brasil,Minuto67,Augusto_Renato,Paulinho
Mundial 2018,Brasil,Suiza,https://www.losmundialesdefutbol.com/../partidos/2018_brasil_suiza.php,Brasil,Minuto79,Firmino_Roberto,Jesus_Gabriel
Mundial 2018,Brasil,Suiza,https://www.losmundialesdefutbol.com/../partidos/2018_brasil_suiza.php,Suiza,Minuto71,Zakaria_Denis,Behrami_Valon
Mundial 2018,Brasil,Suiza,https://www.losmundialesdefutbol.com/../partidos/2018_brasil_suiza.php,Suiza,Minuto80,Embolo_Breel,Seferovic_Haris
Mundial 2018,Brasil,Suiza,https://www.losmundialesdefutbol.com/../partidos/2018_brasil_suiza.php,Suiza,Minuto87,Lang_Michael,Lichtsteiner_Stephan
Mundial 2018,CostaRica,Serbia,https://www.losmundialesdefutbol.com/../partidos/2018_costa_rica_serbia.php,CostaRica,Minuto60,Bolaños_Christian,Venegas_Johan
Mundial 2018,CostaRica,Serbia,https://www.losmundialesdefutbol.com/../partidos/2018_costa_rica_serbia.php,CostaRica,Minuto66,Campbell_Joel,Ureña_Marco
Mundial 2018,CostaRica,Serbia,https://www.losmundialesdefutbol.com/../partidos/2018_costa_rica_serbia.php,CostaRica,Minuto73,Colindres_Daniel,Guzmán_David
