Mundial,link,Posicion,Jugador,Goles,Partidos,Promedio de Gol,Selección
Mundial 2018,/jugadores/harry_kane.php,1,Harry Kane,6 ,6,1.00,Inglaterra
Mundial 2018,/jugadores/denis_cheryshev.php,3,Denis Cheryshev,4 ,5,0.80,Rusia
Mundial 2018,/jugadores/cristiano_ronaldo.php,4,Cristiano Ronaldo,4 ,4,1.00,Portugal
Mundial 2018,/jugadores/antoine_griezmann.php,5,Antoine Griezmann,4 ,7,0.57,Francia
Mundial 2018,/jugadores/romelu_lukaku.php,6,Romelu Lukaku,4 ,6,0.67,Belgica
Mundial 2018,/jugadores/kylian_mbappe.php,7,Kylian Mbappé,4 ,7,0.57,Francia
Mundial 2018,/jugadores/edinson_cavani.php,9,Edinson Cavani,3 ,4,0.75,Uruguay
Mundial 2018,/jugadores/diego_costa.php,10,Diego Costa,3 ,4,0.75,España
Mundial 2018,/jugadores/artem_dzyuba.php,11,Artem Dzyuba,3 ,5,0.60,Rusia
Mundial 2018,/jugadores/eden_hazard.php,12,Eden Hazard,3 ,6,0.50,Belgica
Mundial 2018,/jugadores/mario_mandzukic.php,13,Mario Mandzukic,3 ,6,0.50,Croacia
Mundial 2018,/jugadores/yerry_mina.php,14,Yerry Mina,3 ,3,1.00,Colombia
Mundial 2018,/jugadores/ivan_perisic.php,15,Ivan Perisic,3 ,7,0.43,Croacia
Mundial 2018,/jugadores/sergio_aguero.php,17,Sergio Agüero,2 ,4,0.50,Argentina
Mundial 2018,/jugadores/andreas_granqvist.php,18,Andreas Granqvist,2 ,5,0.40,Suecia
Mundial 2018,/jugadores/takashi_inui.php,19,Takashi Inui,2 ,4,0.50,Japon
Mundial 2018,/jugadores/mile_jedinak.php,20,Mile Jedinak,2 ,3,0.67,Australia
Mundial 2018,/jugadores/wahbi_khazri.php,21,Wahbi Khazri,2 ,3,0.67,Tunez
Mundial 2018,/jugadores/luka_modric.php,22,Luka Modric,2 ,7,0.29,Croacia
Mundial 2018,/jugadores/ahmed_musa.php,23,Ahmed Musa,2 ,3,0.67,Nigeria
Mundial 2018,/jugadores/neymar.php,24,Neymar Jr.,2 ,5,0.40,Brasil
Mundial 2018,/jugadores/philippe_coutinho.php,25,Philippe Coutinho,2 ,5,0.40,Brasil
Mundial 2018,/jugadores/mohamed_salah.php,26,Mohamed Salah,2 ,2,1.00,Egipto
Mundial 2018,/jugadores/heung_min_son.php,27,Heung-Min Son,2 ,3,0.67,CoreadelSur
Mundial 2018,/jugadores/john_stones.php,28,John Stones,2 ,7,0.29,Inglaterra
Mundial 2018,/jugadores/luis_suarez.php,29,Luis Suarez,2 ,5,0.40,Uruguay
Mundial 2018,/jugadores/salem_al_dawsari.php,31,Salem Al-Dawsari,1 ,3,0.33,ArabiaSaudita
Mundial 2018,/jugadores/salman_al_faraj.php,32,Salman Al-Faraj,1 ,3,0.33,ArabiaSaudita
Mundial 2018,/jugadores/dele_alli.php,33,Dele Alli,1 ,5,0.20,Inglaterra
Mundial 2018,/jugadores/karim_ansarifard.php,34,Karim Ansarifard,1 ,3,0.33,Iran
Mundial 2018,/jugadores/iago_aspas.php,35,Iago Aspas,1 ,3,0.33,España
Mundial 2018,/jugadores/ludwig_augustinsson.php,36,Ludwig Augustinsson,1 ,5,0.20,Suecia
Mundial 2018,/jugadores/milan_badelj.php,37,Milan Badelj,1 ,3,0.33,Croacia
Mundial 2018,/jugadores/felipe_baloy.php,38,Felipe Baloy,1 ,1,1.00,Panama
Mundial 2018,/jugadores/michy_batshuayi.php,39,Michy Batshuayi,1 ,3,0.33,Belgica
Mundial 2018,/jugadores/jan_bednarek.php,40,Jan Bednarek,1 ,3,0.33,Polonia
Mundial 2018,/jugadores/fakhreddine_ben_youssef.php,41,Fakhreddine Ben Youssef,1 ,3,0.33,Tunez
Mundial 2018,/jugadores/khalid_boutaib.php,42,Khalid Boutaïb,1 ,2,0.50,Marruecos
Mundial 2018,/jugadores/dylan_bronn.php,43,Dylan Bronn,1 ,2,0.50,Tunez
Mundial 2018,/jugadores/andre_carrillo.php,44,André Carrillo,1 ,3,0.33,Peru
Mundial 2018,/jugadores/nacer_chadli.php,45,Nacer Chadli,1 ,6,0.17,Belgica
Mundial 2018,/jugadores/juan_guillermo_cuadrado.php,46,Juan Guillermo Cuadrado,1 ,4,0.25,Colombia
Mundial 2018,/jugadores/kevin_de_bruyne.php,47,Kevin De Bruyne,1 ,6,0.17,Belgica
Mundial 2018,/jugadores/angel_di_maria.php,48,Angel Di Maria,1 ,3,0.33,Argentina
Mundial 2018,/jugadores/josip_drmic.php,49,Josip Drmic,1 ,3,0.33,Suiza
Mundial 2018,/jugadores/blerim_dzemaili.php,50,Blerim Dzemaili,1 ,4,0.25,Suiza
Mundial 2018,/jugadores/youssef_en_nesyri.php,51,Youssef En-Nesyri,1 ,1,1.00,Marruecos
Mundial 2018,/jugadores/christian_eriksen.php,52,Christian Eriksen,1 ,4,0.25,Dinamarca
Mundial 2018,/jugadores/radamel_falcao.php,53,Radamel Falcao,1 ,4,0.25,Colombia
Mundial 2018,/jugadores/marouane_fellaini.php,54,Marouane Fellaini,1 ,5,0.20,Belgica
Mundial 2018,/jugadores/mario_fernandes.php,55,Mário Fernandes,1 ,5,0.20,Rusia
Mundial 2018,/jugadores/alfred_finnbogason.php,56,Alfred Finnbogason,1 ,3,0.33,Islandia
Mundial 2018,/jugadores/emil_forsberg.php,57,Emil Forsberg,1 ,5,0.20,Suecia
Mundial 2018,/jugadores/yury_gazinsky.php,58,Yury Gazinsky,1 ,4,0.25,Rusia
Mundial 2018,/jugadores/jose_maria_gimenez.php,59,José María Giménez,1 ,4,0.25,Uruguay
Mundial 2018,/jugadores/aleksandr_golovin.php,60,Aleksandr Golovin,1 ,4,0.25,Rusia
Mundial 2018,/jugadores/paolo_guerrero.php,61,Paolo Guerrero,1 ,3,0.33,Peru
Mundial 2018,/jugadores/genki_haraguchi.php,62,Genki Haraguchi,1 ,3,0.33,Japon
