Link,Nombre,FechaNac,LugarNac,Posicion,NoCamiseta,altura,apodo,web,seleccion
/jugadores/ruediger_abramczik.php,Abramczik_Ruediger,18defebrerode1956,,Delantero,7,,,, Alemania
/jugadores/ernst_albrecht.php,Albrecht_Ernst,12denoviembrede1907,,Mediocampista,-,,,, Alemania
/jugadores/karl_allgoewer.php,Allgoewer_Karl,05deenerode1957,,Mediocampista,13,,,, Alemania
/jugadores/klaus_allofs.php,Allofs_Klaus,05dediciembrede1956,,Delantero,19,,,, Alemania
/jugadores/thomas_allofs.php,Allofs_Thomas,17denoviembrede1959,,Delantero,16,,,, Alemania
/jugadores/dennis_aogo.php,Aogo_Dennis,14deenerode1987,,Defensor,4,184mts,,, Alemania
/jugadores/gerald_asamoah.php,Asamoah_Gerald,03deoctubrede1978,,Delantero,14,18mts,,, Alemania
/jugadores/klaus_augenthaler.php,Augenthaler_Klaus,26deseptiembrede1957,,Defensor,15y5,,,, Alemania
/jugadores/raimond_aumann.php,Aumann_Raimond,12deoctubrede1963,,Arquero,12,,,, Alemania
/jugadores/markus_babbel.php,Babbel_Markus,08deseptiembrede1972,,Defensor,14,188mts,,, Alemania
/jugadores/holger_badstuber.php,Badstuber_Holger,13demarzode1989,,Defensor,14,19mts,,, Alemania
/jugadores/michael_ballack.php,Ballack_Michael,26deseptiembrede1976,,Mediocampista,13,189mts,,, Alemania
/jugadores/mario_basler.php,Basler_Mario,18dediciembrede1968,,Mediocampista,21,,,, Alemania
/jugadores/hans_bauer.php,Bauer_Hans,28dejuliode1927,,Defensor,4,,,, Alemania
/jugadores/frank_baumann.php,Baumann_Frank,29deoctubrede1975,,Defensor,4,187mts,,, Alemania
/jugadores/franz_beckenbauer.php,Beckenbauer_Franz,11deseptiembrede1945,Munich_Baviera_Alemania,Defensor_Mediocampista,4y5,181mts,DerKaiser(ElKaiser),wwwfranzbeckenbauerde, Alemania
/jugadores/erich_beer.php,Beer_Erich,09dediciembrede1946,,Mediocampista,15,,,, Alemania
/jugadores/uwe_bein.php,Bein_Uwe,26deseptiembrede1960,,Mediocampista,15,,,, Alemania
/jugadores/jakob_bender.php,Bender_Jakob,23demarzode1910,,Delantero,-,,,, Alemania
