Mundia,local,visitante,Link,Pais,Jugador,Tarjeta,minuto
Mundial 2018,Rusia,ArabiaSaudita,/partidos/2018_rusia_arabia_saudita.php,Rusia,Golovin_Aleksandr,amarilla,88
Mundial 2018,Rusia,ArabiaSaudita,/partidos/2018_rusia_arabia_saudita.php,ArabiaSaudita,Al-Jassim_Taisir,amarilla,90+3
Mundial 2018,Egipto,Uruguay,/partidos/2018_egipto_uruguay.php,Egipto,Morsy_Sam,amarilla,90+4
Mundial 2018,Egipto,Uruguay,/partidos/2018_egipto_uruguay.php,Egipto,Hegazi_Ahmed,amarilla,90+6
Mundial 2018,Portugal,España,/partidos/2018_portugal_espana.php,España,Busquets_Sergio,amarilla,17
Mundial 2018,Portugal,España,/partidos/2018_portugal_espana.php,Portugal,Fernandes_Bruno,amarilla,28
Mundial 2018,Marruecos,Irán,/partidos/2018_marruecos_iran.php,Irán,Shojaei_Masoud,amarilla,10
Mundial 2018,Marruecos,Irán,/partidos/2018_marruecos_iran.php,Marruecos,El_Karim,amarilla,34
Mundial 2018,Marruecos,Irán,/partidos/2018_marruecos_iran.php,Irán,Jahanbakhsh_Alireza,amarilla,47
Mundial 2018,Marruecos,Irán,/partidos/2018_marruecos_iran.php,Irán,Ansarifard_Karim,amarilla,90+2
Mundial 2018,Francia,Australia,/partidos/2018_francia_australia.php,Australia,Leckie_Mathew,amarilla,13
Mundial 2018,Francia,Australia,/partidos/2018_francia_australia.php,Australia,Risdon_Josh,amarilla,57
Mundial 2018,Francia,Australia,/partidos/2018_francia_australia.php,Francia,Tolisso_Corentin,amarilla,76
Mundial 2018,Francia,Australia,/partidos/2018_francia_australia.php,Australia,Behich_Aziz,amarilla,87
Mundial 2018,Perú,Dinamarca,/partidos/2018_peru_dinamarca.php,Perú,Tapia_Renato,amarilla,38
Mundial 2018,Perú,Dinamarca,/partidos/2018_peru_dinamarca.php,Dinamarca,Delaney_Thomas,amarilla,86
Mundial 2018,Perú,Dinamarca,/partidos/2018_peru_dinamarca.php,Dinamarca,Poulsen_Yussuf,amarilla,90+3
Mundial 2018,Croacia,Nigeria,/partidos/2018_croacia_nigeria.php,Croacia,Rakitic_Ivan,amarilla,30
Mundial 2018,Croacia,Nigeria,/partidos/2018_croacia_nigeria.php,Nigeria,Troost-Ekong_William,amarilla,70
Mundial 2018,Croacia,Nigeria,/partidos/2018_croacia_nigeria.php,Croacia,Brozovic_Marcelo,amarilla,89
Mundial 2018,Brasil,Suiza,/partidos/2018_brasil_suiza.php,Suiza,Lichtsteiner_Stephan,amarilla,31
Mundial 2018,Brasil,Suiza,/partidos/2018_brasil_suiza.php,Brasil,Casemiro,amarilla,47
Mundial 2018,Brasil,Suiza,/partidos/2018_brasil_suiza.php,Suiza,Schär_Fabian,amarilla,65
Mundial 2018,Brasil,Suiza,/partidos/2018_brasil_suiza.php,Suiza,Behrami_Valon,amarilla,68
Mundial 2018,CostaRica,Serbia,/partidos/2018_costa_rica_serbia.php,CostaRica,Calvo_Francisco,amarilla,22
Mundial 2018,CostaRica,Serbia,/partidos/2018_costa_rica_serbia.php,CostaRica,Guzmán_David,amarilla,56
Mundial 2018,CostaRica,Serbia,/partidos/2018_costa_rica_serbia.php,Serbia,Ivanovic_Branislav,amarilla,59
Mundial 2018,CostaRica,Serbia,/partidos/2018_costa_rica_serbia.php,Serbia,Prijović_Aleksandar,amarilla,90+8
Mundial 2018,Alemania,México,/partidos/2018_alemania_mexico.php,México,Moreno_Hector,amarilla,40
Mundial 2018,Alemania,México,/partidos/2018_alemania_mexico.php,Alemania,Mueller_Thomas,amarilla,83
Mundial 2018,Alemania,México,/partidos/2018_alemania_mexico.php,Alemania,Hummels_Mats,amarilla,84
Mundial 2018,Alemania,México,/partidos/2018_alemania_mexico.php,México,Herrera_Héctor,amarilla,90
Mundial 2018,Suecia,CoreadelSur,/partidos/2018_suecia_corea_del_sur.php,CoreadelSur,Kim_Shin-Wook,amarilla,13
Mundial 2018,Suecia,CoreadelSur,/partidos/2018_suecia_corea_del_sur.php,CoreadelSur,Hwang_Hee-chan,amarilla,55
Mundial 2018,Suecia,CoreadelSur,/partidos/2018_suecia_corea_del_sur.php,Suecia,Claesson_Viktor,amarilla,61
Mundial 2018,Bélgica,Panama,/partidos/2018_belgica_panama.php,Bélgica,Meunier_Thomas,amarilla,14
Mundial 2018,Bélgica,Panama,/partidos/2018_belgica_panama.php,Panama,Davis_Erick,amarilla,18
Mundial 2018,Bélgica,Panama,/partidos/2018_belgica_panama.php,Panama,Joel_Édgar,amarilla,45+2
Mundial 2018,Bélgica,Panama,/partidos/2018_belgica_panama.php,Panama,Cooper_Armando,amarilla,49
Mundial 2018,Bélgica,Panama,/partidos/2018_belgica_panama.php,Panama,Amir_Michael,amarilla,51
Mundial 2018,Bélgica,Panama,/partidos/2018_belgica_panama.php,Panama,Godoy_Aníbal,amarilla,57
Mundial 2018,Bélgica,Panama,/partidos/2018_belgica_panama.php,Bélgica,Vertonghen_Jan,amarilla,59
Mundial 2018,Bélgica,Panama,/partidos/2018_belgica_panama.php,Bélgica,De_Kevin,amarilla,88
Mundial 2018,Túnez,Inglaterra,/partidos/2018_tunez_inglaterra.php,Inglaterra,Walker_Kyle,amarilla,33
Mundial 2018,Polonia,Senegal,/partidos/2018_polonia_senegal.php,Polonia,Krychowiak_Grzegorz,amarilla,12
Mundial 2018,Polonia,Senegal,/partidos/2018_polonia_senegal.php,Senegal,Sané_Salif,amarilla,49
Mundial 2018,Polonia,Senegal,/partidos/2018_polonia_senegal.php,Senegal,Gueye_Idrissa,amarilla,72
Mundial 2018,Colombia,Japón,/partidos/2018_colombia_japon.php,Colombia,Sánchez_Carlos,Roja,71
Mundial 2018,Colombia,Japón,/partidos/2018_colombia_japon.php,Colombia,Barrios_Wílmar,amarilla,64
Mundial 2018,Colombia,Japón,/partidos/2018_colombia_japon.php,Colombia,Rodríguez_James,amarilla,86
Mundial 2018,Colombia,Japón,/partidos/2018_colombia_japon.php,Japón,Kawashima_Eiji,amarilla,90+4
Mundial 2018,Rusia,Egipto,/partidos/2018_rusia_egipto.php,Egipto,Trézéguet,amarilla,57
Mundial 2018,Rusia,Egipto,/partidos/2018_rusia_egipto.php,Rusia,Smolov_Fyodor,amarilla,84
Mundial 2018,Portugal,Marruecos,/partidos/2018_portugal_marruecos.php,Marruecos,Benatia_Medhi,amarilla,40
